country,t2_ahp,t3_ahp,t2_rank,t3_rank
Pakistan,0.7665516676595673,0.75,1,1
Egypt,0.5642858598413485,0.587871094582739,9,7
Sri Lanka,0.6186123393520654,0.49999999999999994,5,11
Bangladesh,0.519367608624805,0.5,12,10
Nepal,0.43008225822817603,0.24999999999999994,15,17
Jordan,0.5699177417718239,0.24999999999999994,8,18
Ethiopia,0.7022658078182189,0.75,3,2
Zambia,0.6673069369323069,0.75,4,3
India,0.46504112911408796,0.33787109458273895,14,14
Morocco,0.4706730110445634,0.33787109458273895,13,15
Philippines,0.5992447307272604,0.33787109458273895,6,16
Kenya,0.5836534684661534,0.5878710945827389,7,8
Tunisia,0.7178570700793259,0.6757421891654779,2,4
Ghana,0.5293269889554365,0.6757421891654779,10,5
Nigeria,0.29210231025130573,0.42574218916547796,18,12
Angola,0.3270611811372177,0.5136132837482169,16,9
Bolivia,0.5193676086248051,0.662128905417261,11,6
Vietnam,0.3015105385454792,0.41212890541726094,17,13
