country,scarring,exposure_level
Bolivia,0.7435069324868923,0.5193676086248049
Ghana,0.6997535769840694,0.5293269889554364
Angola,0.693112136498874,0.3270611811372176
Zambia,0.6740840669725685,0.6673069369323068
Ethiopia,0.6554621200513594,0.7022658078182188
Pakistan,0.6424244913018529,0.7665516676595672
Vietnam,0.6393393676799043,0.3015105385454792
Nigeria,0.6301199147622683,0.2921023102513057
Kenya,0.6295013388374828,0.5836534684661534
Egypt,0.6180257385129654,0.5642858598413484
Tunisia,0.5947666966709126,0.7178570700793256
Sri Lanka,0.5589209092140448,0.6186123393520653
Bangladesh,0.5341311846020412,0.5193676086248049
India,0.46588432071928143,0.4650411291140879
Philippines,0.4501893953554853,0.5992447307272603
Morocco,0.4365828469719965,0.4706730110445633
Nepal,0.4046313839457882,0.430082258228176
Jordan,0.37895894195018837,0.5699177417718237
